Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_1",1.0,0.8330193174642756,0.0,0.0,1.0,19,30.158079216178585,4980,144,0.36363636363636365,0.011873266687649505,81,298
"0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, R_1, R_3, R_5",1.0,0.21372374024338833,0.0,0.0,1.0,3,25.392822620831566,4835,144,0.45454545454545453,0.0015785021500320775,35,145
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, R_0, R_2, R_5, R_6, R_7",1.0,0.006659479855513707,987.5291441963433,44.688305997572954,5.610874299146194e-05,1,17.70694045421314,4920,166,0.6363636363636364,0.00036690739997445376,27,42
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_7",0.0,0.1541603050458978,0.0,0.0,1.0,1,33.18331656790377,4906,168,0.45454545454545453,0.0006875950385636416,47,153
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_2, R_4, R_5, R_6",1.0,0.3860526788178155,0.0,0.0,1.0,3,16.670006613838922,4966,174,0.5454545454545454,0.001036262950122241,22,74
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_7",1.0,0.2063444936920908,0.0,0.0,1.0,4,23.153682864940677,4811,193,0.45454545454545453,0.0019190797194525173,35,149
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, R_0, R_1, R_3, R_6, R_7",1.0,0.008896448150564767,576.3846144,402.60160170666666,9.454150428722013e-10,1,18.9062450176,4761,215,0.6363636363636364,0.0003917583176283317,14,38
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_1, R_2, R_3, R_5, R_6, R_7",1.0,0.005288472450066533,633.9823499547158,422.3664046442195,7.439661333142868e-10,1,18.714556811522165,4938,236,0.5454545454545454,0.004413571949006651,26,71
"0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_0, R_1, R_2, R_4, R_6",1.0,0.274621142146712,360.0,256.0,9.09494701772928e-09,1,14.184000000000001,4938,237,0.6363636363636364,0.00029390817542391276,9,38
"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_3, R_6",1.0,0.024922974483969858,800.1152,311.07754666666665,3.4328645982276314e-09,1,14.270208,4898,239,0.6363636363636364,0.00029569450057809665,11,38
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_1, R_2, R_4, R_6",1.0,0.006572159066124734,630.1991218271789,423.8548637839307,7.309945591662708e-10,1,20.32012463446484,4840,268,0.6363636363636364,0.00042105546783009464,25,36
"1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4",1.0,0.8790990088829224,1000.0,0.0,1.0,18,24.363195356596286,4985,289,0.36363636363636365,0.009086982607555276,223,294
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_7",1.0,0.11830233793438005,0.0,0.0,1.0,1,27.3399983398912,4656,303,0.5454545454545454,0.0005665150189065303,17,72
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_7",0.0,0.062566424452981,1000.0,0.0,1.0,1,23.86087173543521,4984,303,0.5454545454545454,0.0004944236658055395,55,72
"0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, R_1, R_5, R_6",1.0,0.13221074099592175,0.0,0.0,1.0,1,28.75849256390596,4619,407,0.45454545454545453,0.0005959077888747717,30,139
"1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_6",0.0,0.7630187091794841,0.0,0.0,1.0,19,30.165724031435424,4992,427,0.36363636363636365,0.011876276459249067,76,284
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_3, R_6, R_7",1.0,0.13596138893083626,0.0,0.0,1.0,2,27.922323456196608,4602,439,0.5454545454545454,0.001157162879386219,19,71
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_5, R_7",1.0,0.16353543060037692,0.0,0.0,1.0,1,16.272,4176,504,0.6363636363636364,0.00033717384591778815,7,34
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_7",1.0,0.19330300419618834,1000.0,0.0,1.0,4,29.296162517702783,4840,541,0.45454545454545453,0.0024281956211225173,99,139
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, R_0, R_1, R_3, R_4, R_5, R_7",1.0,0.031045213421855775,416.0,375.46666666666664,1.340118074318883e-09,1,25.28,3616,553,0.7272727272727273,0.0005238295737955805,7,16
"0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, R_1, R_2, R_3, R_4, R_7",0.0,0.013771022549473075,990.903898483936,37.377038901449325,0.00013708045498075976,1,20.254434789247306,4199,554,0.5454545454545454,0.0004196943015475393,45,69
"0.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_1",0.0,0.6848269355664572,0.0,0.0,1.0,18,31.91804816563702,4906,586,0.36363636363636365,0.011904790989156018,74,275
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0","R_0, R_1, R_2, R_3, R_4, R_5",1.0,0.0011172673153009495,889.1508715149089,217.60372187649347,2.049596656144935e-08,1,18.171025277941148,4941,612,0.5454545454545454,0.020284450565035677,37,70
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_5, R_7",1.0,0.07213239502062259,0.0,0.0,1.0,1,24.789404389869123,4811,640,0.45454545454545453,0.0005136638898809903,31,139
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, R_0, R_1, R_3, R_4, R_6",1.0,0.012031513357296747,493.57658521600007,384.5130726058667,1.1897191515982937e-09,1,18.930082004992,4456,641,0.6363636363636364,0.0003922522463841118,16,32
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_4",1.0,0.17344319625170582,0.0,0.0,1.0,1,20.839204410064898,4892,650,0.5454545454545454,0.00043181137517259795,19,70
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, R_1, R_2, R_5, R_6",1.0,0.014439632119009067,751.0642227731803,305.4670497136213,3.759916048046519e-09,1,18.72606805488198,4902,666,0.5454545454545454,0.00038802485158448825,41,69
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_4",1.0,0.10703902777213518,1000.0,0.0,1.0,1,27.03300602561302,4902,702,0.5454545454545454,0.0005601537984497717,45,67
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_4, R_5, R_6, R_7",1.0,0.02640618799577384,259.072,334.9162666666667,2.3731150453570653e-09,1,19.029632,4828,721,0.6363636363636364,0.0003943150324385577,10,36
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_1, R_0, R_1, R_2, R_3, R_6",0.0,0.01565966461908631,769.933707499342,309.100854491104,3.5440429119503765e-09,1,19.12796645899012,4530,727,0.5454545454545454,0.0003963526312416516,32,66
"1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_6",0.0,0.20908338133172702,1000.0,0.0,1.0,7,30.381105093146196,4999,763,0.45454545454545453,0.004406710811972728,89,133
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_3, R_4",1.0,0.36270704900394973,0.0,0.0,1.0,2,21.073975329390592,4892,765,0.5454545454545454,0.0008733521768175041,19,66
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_5, R_6",1.0,0.06517920061538678,1000.0,0.0,1.0,1,25.80683126780828,4902,806,0.6363636363636364,0.0005347461006341167,22,33
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, R_0, R_1, R_4, R_6, R_7",0.0,0.02531904061048386,697.846272,374.36129280000006,1.3600200410493988e-09,1,24.263332864,3682,813,0.6363636363636364,0.0005027631057361321,13,33
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, R_1, R_2, R_3, R_4, R_5, R_7",0.0,0.09125805717496656,918.08,131.07199999999997,2.5849394142282147e-07,1,14.48448,4925,829,0.7272727272727273,0.00030013445352257157,9,16
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, R_2, R_3, R_4, R_5, R_6, R_7",1.0,0.04195713447958273,841.5488837222399,251.409702322176,9.956113315109277e-09,1,27.338143112986625,4757,866,0.6363636363636364,0.0005664765765521506,19,33
"1.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_2, R_0, R_1, R_2, R_3, R_7",0.0,0.03586181584664177,654.0918839168205,409.4444947150384,8.690100911607071e-10,2,18.364093104535634,4833,910,0.5454545454545454,0.0007610486601338022,21,63
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_4, R_5, R_6",0.0,0.11015734506858244,0.0,0.0,1.0,2,31.99004874752,4691,933,0.5454545454545454,0.0013257384178095922,16,63
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, R_0, R_1, R_2, R_4, R_5",0.0,0.06024378508044816,998.5242604741031,7.673845534663212,1.0,1,17.553197309197994,4627,942,0.5454545454545454,0.0003637216718839761,39,63
"1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_2, R_3, R_4, R_7",0.0,0.013699967515629886,837.5453786112,292.41831849984,4.677105031498115e-09,1,20.2776649981952,4899,950,0.6363636363636364,0.0004201756571825218,17,31
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_4",1.0,0.10600228727264004,1000.0,0.0,1.0,2,28.23106162544346,4902,1047,0.45454545454545453,0.0011699576723934188,87,123
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_3, R_7",0.0,0.09051545342044039,0.0,0.0,1.0,1,27.178048,4744,1071,0.6363636363636364,0.0005631592286564806,10,29
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_3, R_5, R_6, R_7",1.0,0.15835754102950894,0.0,0.0,1.0,1,22.108990463999998,4602,1097,0.5454545454545454,0.0004581227473025187,13,61
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, R_0, R_1, R_2, R_6",1.0,0.009455178194598936,547.1826529621115,421.72230505053113,7.496648389711612e-10,1,20.905412266109174,4653,1100,0.5454545454545454,0.0004331832752126926,22,60
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, R_0, R_1, R_2, R_5, R_7",0.0,0.008630762161411829,811.368226489052,326.09715540138325,2.7118455302149144e-09,1,20.940620075966688,4457,1105,0.5454545454545454,0.00043391281999243696,25,57
"0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_2, R_0, R_2, R_7",1.0,0.20695363679830187,1000.0,0.0,1.0,2,24.13285262684741,4397,1118,0.45454545454545453,0.001000118821676664,86,121
"0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_5, R_7",0.0,0.013225265220521046,744.9707315200001,273.279762432,6.560888281325293e-09,1,22.17730379776,4830,1126,0.6363636363636364,0.00045953827517071716,15,30
"1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_7",1.0,0.7066964871241596,0.0,0.0,1.0,11,21.619035412762948,4811,1133,0.36363636363636365,0.004927673701247268,51,238
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_1, A_2, R_0, R_3, R_5, R_6, R_7",1.0,0.014656798189467161,472.064,377.5146666666667,1.304159939227646e-09,1,21.710272,4486,1135,0.6363636363636364,0.0004498608595231853,10,30
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_3, R_4, R_6",1.0,0.08433922026105911,0.0,0.0,1.0,1,19.25,4861,1137,0.6363636363636364,0.0003988813012486125,4,30
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_2, R_5, R_6, R_7",1.0,0.3684277703589246,0.0,0.0,1.0,4,21.457153024,4509,1144,0.5454545454545454,0.0017784638169981758,14,58
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, R_1, R_2, R_4, R_5, R_6, R_7",0.0,0.032010153523474756,744.0,317.8666666666667,3.0815914580817986e-09,1,18.792,4526,1154,0.7272727272727273,0.0003893910344448793,7,15
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, R_3, R_6, R_7",1.0,0.3764153888392983,0.0,0.0,1.0,2,18.524841706646917,4647,1176,0.45454545454545453,0.0007677104379607159,24,122
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_2, R_0, R_1, R_2, R_4, R_5, R_6, R_7",0.0,0.15342867363528992,520.0,346.6666666666667,1.9972828694252237e-09,1,23.4,4936,1180,0.7272727272727273,0.00048487389346584583,6,15
"0.0, 1.0, 1.0, 1.0","A_0, A_1, R_2, R_3",1.0,0.6491892326672657,1000.0,0.0,1.0,16,36.35193263762436,4977,1196,0.36363636363636365,0.012052036316590138,172,234
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_6",1.0,0.008079507041242521,907.08488372224,164.05734883328,8.414369022852334e-08,1,25.82882313162695,4569,1210,0.5454545454545454,0.0005352017963877205,25,58
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, R_1, R_4, R_6, R_7",1.0,0.051637880070739856,1000.0,0.0,1.0,1,27.832163598636868,4741,1219,0.5454545454545454,0.0005767132276773267,41,56
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, R_3, R_4, R_5, R_6, R_7",1.0,0.08026797708688485,1000.0,0.0,1.0,1,22.13499430234489,4154,1220,0.6363636363636364,0.0004586615756077898,23,29
"1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_6",0.0,0.14144686620316743,0.0,0.0,1.0,3,31.083683633296207,4992,1237,0.45454545454545453,0.0019322649623765285,35,112
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_2, R_5, R_6, R_7",1.0,0.003706608296921481,801.9698688,317.73119829333336,3.088166423215996e-09,1,30.693791129599997,4776,1266,0.6363636363636364,0.0006360093166767775,14,30
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_3, R_4, R_5, R_7",0.0,0.5550960151444584,0.0,0.0,1.0,1,17.44768,4294,1279,0.6363636363636364,0.00036153523647633197,9,30
"0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, R_0, R_1, R_3, R_4, R_6, R_7",1.0,0.05651778160215203,840.0,160.0,9.5367431640625e-08,1,25.951680000000003,4628,1314,0.7272727272727273,0.0005377475266487062,9,13
"1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_1, R_2, R_4, R_5",1.0,0.14536536504794526,1000.0,0.0,1.0,1,16.870033833394178,4759,1349,0.6363636363636364,0.0003495657687050591,19,25
"0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_1",0.0,0.7397851859968395,1000.0,0.0,1.0,12,23.461308886083835,4936,1354,0.36363636363636365,0.005833731377128368,169,224
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_2, R_0, R_1, R_4, R_5, R_6, R_7",1.0,0.013265705421961342,932.891136,158.2650709333333,1.0071046850250554e-07,1,27.871176704,3730,1359,0.6363636363636364,0.0005775216223907291,13,26
"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_5, R_6, R_7",1.0,0.004324706442539674,874.17088,248.86203733333335,1.0476271356895841e-08,1,19.8873472,4398,1372,0.6363636363636364,0.00041208784049449095,12,27
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, R_2, R_4, R_5, R_6",1.0,0.022350544350677348,872.7400800963788,252.68043496869075,9.708271670604442e-09,1,20.3255004348912,3782,1382,0.5454545454545454,0.00042116686036356576,24,54
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_1, R_2, R_3, R_4, R_5, R_6",0.0,0.05918455570673501,1000.0,0.0,1.0,1,19.0,3311,1388,0.8181818181818182,0.00039370102460902016,2,5
"0.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, R_0, R_2, R_3, R_6",1.0,0.11008448584656436,1000.0,0.0,1.0,2,32.59304474550708,4819,1399,0.5454545454545454,0.0013507279064667135,40,55
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_3, R_5, R_7",0.0,0.052438708952259216,1000.0,0.0,1.0,1,25.481447580053707,4984,1402,0.5454545454545454,0.000528003790567799,44,56
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, R_1, R_4, R_5, R_6, R_7",0.0,0.1173337223062948,523.84,366.592,1.5103760262505865e-09,1,15.7376,4070,1406,0.6363636363636364,0.00032610048657299556,9,27
"1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_4",0.0,0.07143481190200761,0.0,0.0,1.0,1,31.84618026131771,4981,1424,0.45454545454545453,0.0006598880946718071,31,107
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, R_1, R_2, R_5, R_6, R_7",0.0,0.006954977426564303,863.05073152,247.9309018453333,1.0674479297419396e-08,1,19.67867682816,4391,1475,0.6363636363636364,0.00040776395948401975,15,28
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_6, R_7",0.0,0.2002347778461336,0.0,0.0,1.0,1,22.690267772998386,4944,1489,0.45454545454545453,0.00047016745636223653,22,112
"1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_4, R_6",1.0,0.017494769601154,918.08,143.35999999999999,1.6514295005431624e-07,1,26.1104,2961,1522,0.6363636363636364,0.0005410363806816504,9,26
"1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_3, R_5, R_6",1.0,0.06424248538713309,1000.0,0.0,1.0,1,26.5734016,4380,1522,0.6363636363636364,0.000550630286171946,11,29
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_2, R_1, R_2, R_3, R_5, R_7",0.0,0.05147973461155829,671.5874117222401,382.3950899008853,1.2230338137638441e-09,1,16.5537067040768,4658,1526,0.5454545454545454,0.0003430111205511706,18,49
"1.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_2, R_6, R_7",1.0,0.2330239451148857,0.0,0.0,1.0,1,19.909435749869505,4650,1551,0.45454545454545453,0.0004125455396900568,28,109
"0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, R_0, R_1, R_5, R_7",0.0,0.14547613981570526,988.321603216275,44.684340202801025,5.6133646040186746e-05,1,12.56018451051311,4760,1560,0.5454545454545454,0.00026026092163512396,24,49
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, R_1, R_2, R_4, R_6, R_7",1.0,0.05932227546959151,1000.0,0.0,1.0,1,27.37101910871245,4741,1572,0.6363636363636364,0.0005671578035627979,19,28
"1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_7",1.0,0.7273507236240317,1000.0,0.0,1.0,16,26.95026302716391,4941,1583,0.36363636363636365,0.008935028351391178,166,213
"1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_4, R_5",0.0,0.09549124469008685,0.0,0.0,1.0,2,32.38582064262241,4981,1594,0.45454545454545453,0.001342140081032042,30,105
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_3, R_4, R_6",0.0,0.09414648789538065,0.0,0.0,1.0,1,32.8787690496,4560,1594,0.5454545454545454,0.0006812844769847821,14,53
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_1, A_2, R_2, R_3, R_4, R_6, R_7",0.0,0.09742914966846013,672.0640000000001,327.936,2.636662392212503e-09,1,18.10907648,4096,1600,0.6363636363636364,0.0003752401034157425,12,23
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, R_1, R_4, R_5, R_6, R_7",1.0,0.024779154236962014,601.2837961728,405.70963689472,9.097527593045274e-10,1,17.959842370355197,4761,1642,0.6363636363636364,0.00037214780752764916,17,26
"0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, R_0, R_1, R_3, R_7",0.0,0.0748173850770008,0.0,0.0,1.0,1,26.6319245312,4762,1644,0.5454545454545454,0.0005518429460654494,14,51
